Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1943-0054-TUR,1943,54,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Hundek, Adapazari",,,,,,,,6,Richter,40.6,30.5,18:33,,1943,6,20,1943,6,20,285,,,,,,,,,,,5.92609557,,,,
1943-0055-TUR,1943,55,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Anatolia,,,,,,,,,Richter,40,40,,,1943,12,5,1943,12,5,550,,,,,,,,,,,5.92609557,,,,
1944-0046-TUR,1944,46,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Usak,,,,,,,,6,Richter,38.9,29.3,07:16,,1944,6,25,1944,6,25,21,,,,,,,,,,,6.028662609,,,,
1945-0017-TUR,1945,17,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Aelana, Veyhan, Adana",,,,,,,,6,Richter,37.4,35.8,10:59,,1945,3,20,1945,3,20,300,,,,,,,,,,,6.165418661,,,,
1945-0019-TUR,1945,19,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Van, Bolgesi",,,,,,,,,Richter,38.5,43.3,11:56,,1945,7,29,1945,7,29,300,,,,,,,,,,,6.165418661,,,,
1946-0028-TUR,1946,28,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"IIgin, Konya",,,,,,,,6,Richter,38.2,31.8,18:43,,1946,2,21,1946,2,21,12,,,,,,,,,,,6.678253854,,,,
1950-0035-TUR,1950,35,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Richter,40,40,12:31,,1950,2,4,1950,2,4,20,,,,,,,,,,,8.23955211,,,,
1952-0039-TUR,1952,39,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Pasinler (Hasankale), Erzican",,,,,,,,,Richter,39.8,39.5,,,1952,6,3,1952,6,3,94,,,,,,,,,,,9.094277433,,,,
1953-0064-TUR,1953,64,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Edirne,,,,,,,,,Richter,41.4,26.3,08:44,,1953,6,18,1953,6,18,37,,,,,,,,,,,9.162655459,,,,
1966-0141-TUR,1966,141,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Varto, Mus",,,,,,,,6,Richter,39.1,41.6,04:16,,1966,3,7,1966,3,7,10,,,,,,,,,,,11.09099715,,,,
1966-0142-TUR,1966,142,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,5,Richter,38.9,41.3,03:04,,1966,7,12,1966,7,12,12,20,,,20,,,,,,,11.09099715,,,,
1967-0136-TUR,1967,136,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Tunceli,,,,,,,,6,Richter,39.5,40.4,21:53,,1967,7,26,1967,7,26,97,,,,,,,,,,,11.39852698,,,,
1970-0134-TUR,1970,134,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Demirci, Manisa",,,,,,,,6,Richter,39.1,28.7,12:01,,1970,4,23,1970,4,23,,43,750,,793,,,,,,,13.26647996,,,,
1979-0300-TUR,1979,300,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Dursunvey, Anatolia",,,,,,,,5,Richter,39.672,28.66,16:12,,1979,7,18,1979,7,18,,,,1000,1000,,,,,,,24.79884057,,,,
2019-0479-TUR,2019,479,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Istanbul,,,,,,,,6,Richter,40.89,28.173,13:59,,2019,9,26,2019,9,26,1,34,1419,,1453,,,,,,,87.35800677,1,3056,,Istanbul (Adm1).
2020-0034-TUR,2020,34,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Sivrice District (Elazig province); Malatya Provinces),,,,,,,,7,Richter,38.39,44.367,20:55,39.081,2020,1,24,2020,1,24,41,1607,69000,,70607,,,,,340000,384460,88.43564081,1;2,3071,27770,Malatya (Adm1). Sivrice (Adm2).
2020-0073-TUR,2020,73,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Van City (Baskale district),,,,,,,,6,Richter,38.543,44.447,09:23,,2020,2,23,2020,2,23,9,50,,3000,3050,,,,,,,88.43564081,2,,28336,Baskale (Adm2).
2020-0251-TUR,2020,251,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Karl?ova, Yedisu, Adakl? districts (Bingöl); Çat district (Erzurum)",,,,,,,,6,Richter,39.421,40.697,17:24,,2020,6,14,2020,6,14,1,35,6600,,6635,,,,,,,88.43564081,2,,27620;27622;27627;27781,"Adakli, Cat, Karliova, Yedisu (Adm2)."
2020-0279-TUR,2020,279,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Özalp, Saray, Gürpinar Districts (Van Province)",,,,,,,,5,Richter,38.558,44.023,13:03,,2020,6,25,2020,6,25,,5,273,,278,,,,,,,88.43564081,2,,28342;28346;28347,"Gurpinar, Ozalp, Saray (Adm2)."
2020-0466-TUR,2020,466,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Izmir Bornova, Bayrakli and Karsiyaka",,,,,,,,7,Richter,37.913,26.779,14:57,,2020,10,30,2020,10,30,115,1034,,5000,6034,,,,,450000,508845,88.43564081,2,,27923;27937,"Bornova, Konak (Adm2)."
2022-0765-TUR,2022,765,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Düzce, Sakarya, Bolu, Zonguldak, Bursa, Istanbul",,,,,,,,6,Richter,40.847,30.967,04:08,,2022,11,23,2022,11,23,2,93,213,,306,,,,,50000,50000,100,1;2,3037;3056;3081;3096,27640,"Bursa, Istanbul, Sakarya, Zonguldak (Adm1). Duzce (Adm2)."
2023-0054-TUR,2023,54,EQ-2023-000015,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Gaziantep; Pazarcik District (Kahramanmaras); Sanliurfa, Diyarbakir, Adana, Adiyaman, Osmaniye, Hatay, Kilis, Elazig, Malatya",,Fire,,,Yes,Yes,,8,Richter,38.055,36.51,04:17,,2023,2,6,2023,2,6,50096,107204,9100000,,9207204,100000000,,,,34000000,,,1;2,3017;3018;3042;3044;3048;3052;3064;3071;3079;3083,27957,"Adana, Adiyaman, Diyarbakir, Elazig, Gaziantep, Hatay, Kilis, Malatya, Osmaniye, Sanliurfa (Adm1). Pazarcik (Adm2)."
2023-0091-TUR,2023,91,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Defne District (Hatay Province, southern Türkiye)",,,,,,,,6,Richter,36.159,36.034,20:04,,2023,2,20,2023,2,20,6,294,,,294,,,,,,,,,,,
2023-0107-TUR,2023,107,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Yesilyurt District (Malatya province),,,,,,,,5,Richter,,,12:04,,2023,2,27,2023,2,27,1,110,,90,200,,,,,,,,2,,28106,Yesilyurt (Adm2).
